advmean,advstd,best_ret,epcount,eprew,ev_ext,ev_int,mem_available,n_rooms,n_updates,opt_approxkl,opt_auxloss,opt_clipfrac,opt_ent,opt_featvar,opt_gradnorm,opt_maxfeat,opt_maxkl,opt_pg,opt_tot,opt_vf,reset_counter,retextmean,retextstd,retintmean,retintstd,rewintmax_norm,rewintmax_unnorm,rewintmean_norm,rewintmean_unnorm,rewintstd_unnorm,rooms,tcount,time_elapsed,tps,vpredextmean,vpredextstd,vpredintmean,vpredintstd,wait_step,wait_update,eplen,eprooms,rewtotal
-0.00017798229,0.01292976,400.0,7509,0.0,0.5284146070480347,0.7513188570737839,928963563520,1,870,0.0020924532,0.02704123,0.111328125,2.7440872,0.5207848,0.2155284,4.1894374,0.018622398,0.0004905494,0.024866227,7.853506e-05,0,-0.001537832,0.00090372015,0.48157513,0.02567795,0.027538383,0.14071704,0.004827668,0.024668667,0.011394462,[1],3553424,6949.887824058533,588.7260899825677,-0.0015393123,0.0010611545,0.48175606,0.021901976,6.95466685295105,4.885612487792969,568.22,1.0,600.0
0.007711719,0.0156032825,400.0,7515,0.0,0.5779751539230347,0.657282143831253,928961388544,1,871,0.002279227,0.02562788,0.14257812,2.7497804,0.5123692,0.1712392,4.217445,0.02023794,-0.014433967,0.00860917,0.0001650386,0,-0.0014005213,0.0009582763,0.48931384,0.026449986,0.02050983,0.10475053,0.005329502,0.02721954,0.012098304,[1],3556950,6956.809628486633,591.7534357524648,-0.0014874416,0.0011081401,0.48177594,0.020357236,6.920950412750244,4.950203895568848,571.88,1.0,600.0
0.0012359133,0.013800567,400.0,7519,0.0,0.6207575798034668,0.6208222508430481,929062842368,1,872,0.0015685365,0.022967357,0.053710938,2.736877,0.5094152,0.06670574,4.103832,0.018616233,-0.0011285472,0.019161869,5.9936967e-05,0,-0.0008664571,0.0008777525,0.48874208,0.021993203,0.019978845,0.1019883,0.0049057202,0.025042793,0.010944977,[1],3559282,6963.877806663513,579.4985148972561,-0.0008855829,0.0010209732,0.48754442,0.02163119,7.0645976066589355,4.98681378364563,571.73,1.0,600.0
-0.0014523749,0.012916667,400.0,7529,0.0,0.5432643294334412,0.6676227450370789,928937705472,1,873,0.0012955205,0.022838451,0.047851562,2.7459347,0.48260573,0.0729401,4.202125,0.01958283,0.00544799,0.025639463,9.895625e-05,0,-0.001259631,0.00088245195,0.4909736,0.022297528,0.018536506,0.09457927,0.0048729433,0.024863336,0.010924363,[1],3565268,6971.117500782013,565.7697408297099,-0.0012882131,0.0010437353,0.49248314,0.019797102,7.237078666687012,5.080601215362549,580.93,1.0,600.0
-0.0010113465,0.012729581,400.0,7539,0.0,0.7327805161476135,0.6163624227046967,928831799296,1,874,0.0012837837,0.022616347,0.044921875,2.7261662,0.50087935,0.054489404,4.412321,0.02054749,0.0018977338,0.021850472,6.255834e-05,0,-0.0007606241,0.0011248539,0.49310517,0.020348785,0.020787394,0.1060127,0.004825583,0.024609774,0.010676364,[1],3571130,6978.142357587814,583.0723634967313,-0.00082740886,0.0012654662,0.4942501,0.017691383,7.022889852523804,4.878446340560913,579.33,1.0,600.0
-0.0042708935,0.010878033,400.0,7541,0.0,0.7968452870845795,0.6891936659812927,929049477120,1,875,0.0013994982,0.024199177,0.05859375,2.7422729,0.4986028,0.042029403,3.988074,0.012557075,0.00093112874,0.022444516,5.6484547e-05,0,-0.00067395275,0.0011871388,0.49032927,0.019283826,0.020880116,0.106434576,0.0046808803,0.02386038,0.010421138,[1],3572553,6986.367296695709,497.99763666725966,-0.00067874894,0.0012828264,0.49460974,0.017814016,8.222935199737549,4.907022476196289,582.3,1.0,600.0
-0.004227503,0.012286581,400.0,7548,0.0,0.6407634019851685,0.6704197824001312,929403592704,1,876,0.0011130988,0.023165781,0.024414062,2.7411544,0.48562768,0.043051396,3.90414,0.0125677325,0.0019724623,0.022467682,7.0594e-05,0,-0.0010783526,0.0009850765,0.48179823,0.021135027,0.019715758,0.10045184,0.004580661,0.023338482,0.011334577,[1],3576974,6993.440380096436,579.0967856411758,-0.0010802754,0.0011935137,0.4860296,0.018760096,7.070738792419434,4.977079391479492,591.58,1.0,600.0
-0.0012475105,0.0120753795,400.0,7553,0.0,0.5989983677864075,0.6491523087024689,929423859712,1,877,0.0012983006,0.02457378,0.055664062,2.7409637,0.48584852,0.03938304,4.3513627,0.013421665,-0.0014025297,0.020503651,7.33645e-05,0,-0.0010307067,0.00084251264,0.48578447,0.020249687,0.025021518,0.12742418,0.004797998,0.024434209,0.011083772,[1],3580267,7000.513206958771,579.1179071800414,-0.0010391903,0.0009212134,0.48704895,0.016668439,7.071070909500122,4.670235872268677,601.2,1.0,600.0
-0.0018368687,0.012941916,400.0,7563,0.0,0.6424389779567719,0.615494579076767,929387495424,1,878,0.0019388956,0.02355791,0.109375,2.7154815,0.49389023,0.045987017,4.1082687,0.014838199,-0.0013432809,0.01959033,9.118096e-05,0,-0.0010218683,0.0009481827,0.48486543,0.020710262,0.018067146,0.09196467,0.0047146254,0.023998199,0.010620679,[1],3586175,7007.082147598267,623.540328667053,-0.0010566602,0.0010949252,0.48677188,0.017200474,6.56615424156189,4.5255372524261475,603.79,1.0,600.0
-0.0026041176,0.014480184,400.0,7565,0.0,0.7384501099586487,0.5555812120437622,929316458496,1,879,0.001378333,0.023268316,0.061523438,2.7294888,0.48744792,0.042353727,4.2469,0.017274393,0.0041799513,0.02478974,7.096079e-05,0,-0.0010351558,0.00096168707,0.48541752,0.021621795,0.032245312,0.16405568,0.0048179603,0.024512516,0.011293455,[1],3587718,7013.343929767609,654.1268746227224,-0.0010186493,0.0010816605,0.48798862,0.017479487,6.259886026382446,4.367586374282837,607.83,1.0,600.0
