n_updates,seed_0,seed_1,seed_2,seed_3,seed_4,mean,std
76,0.5595976,0.53740716,0.48433375,0.5882429,0.54911715,0.543739712,0.03817752195142412
77,0.5531552,0.54160786,0.48615703,0.566495,0.5291697,0.5353169579999999,0.030758478223335755
78,0.5448822,0.53907067,0.47849244,0.59021044,0.53614163,0.537759476,0.039745298568887734
79,0.54147327,0.532524,0.47460118,0.5777352,0.5322669,0.53172011,0.037000101420383964
80,0.5290972,0.5300907,0.45339593,0.569519,0.53857356,0.524135278,0.042814393859665005
81,0.534229,0.5146091,0.45383683,0.5676937,0.5514245,0.5243586259999999,0.04409164156946164
82,0.5108055,0.510602,0.43768767,0.5663271,0.55380166,0.5158447859999999,0.05037510372325679
83,0.52181864,0.5103098,0.42969155,0.5695044,0.5740236,0.521069598,0.0583445334753053
84,0.5074766,0.51233435,0.42874137,0.5557914,0.5610162,0.513071984,0.053073301279640876
85,0.5033152,0.52223325,0.4103902,0.5467181,0.54913354,0.506358058,0.056854606949497254
86,0.50224966,0.52006376,0.40250888,0.53271145,0.5307572,0.49765819,0.05454529736116029
87,0.5017009,0.55222684,0.4001075,0.5261261,0.52340984,0.500714236,0.05902772754850622
88,0.483063,0.5373386,0.39229923,0.5212831,0.5073935,0.48827548600000004,0.05722936729235245
89,0.4859214,0.5099679,0.39442396,0.536278,0.5048229,0.486282832,0.05441143351622084
90,0.48668373,0.5183373,0.38169992,0.5230259,0.50741225,0.48343182,0.05856854771189012
91,0.49994826,0.5253768,0.3903982,0.53288835,0.49162608,0.488047538,0.05721450554948737
92,0.46991378,0.51984274,0.3934662,0.5135026,0.49706134,0.478757332,0.05143701662616253
93,0.47650218,0.51227635,0.3950079,0.5165736,0.50689024,0.481450054,0.05081302617854973
94,0.4803081,0.49996734,0.40078312,0.52284014,0.4913456,0.47904885999999997,0.04645853142131594
95,0.4715152,0.48626432,0.41176853,0.52398634,0.4984206,0.47839099800000007,0.04191640254196105
96,0.46182698,0.47569406,0.38797402,0.5265871,0.49915716,0.47024786399999996,0.05215221628326912
97,0.4747853,0.47738707,0.39097542,0.52865505,0.49506426,0.47337342,0.05082834925221209
98,0.44581503,0.4769284,0.3814838,0.52582335,0.4787882,0.461767756,0.05320400083871918
99,0.45832074,0.4815945,0.3664508,0.5125671,0.4569788,0.455182388,0.05449076960819805
100,0.48457265,0.46518835,0.3787526,0.50448096,0.46103984,0.45880688000000003,0.04796976522659924
101,0.47149128,0.4583553,0.3818068,0.49504727,0.48393583,0.45812729599999996,0.04481247335076507
102,0.46432692,0.46368474,0.39363512,0.5141946,0.47386438,0.46194115199999997,0.04343682823790566
103,0.48042327,0.44347388,0.38716063,0.511353,0.46175694,0.45683354400000004,0.04633001632556402
104,0.4690594,0.4536755,0.3655145,0.49066395,0.45710847,0.44720436399999997,0.0479050597822947
105,0.48006636,0.4416384,0.3701908,0.46656322,0.44753826,0.441199408,0.04253398372388038
106,0.47160703,0.46496886,0.35351735,0.4845182,0.45404243,0.445730774,0.05271752124410944
107,0.45298845,0.47236142,0.34318665,0.50199145,0.45426702,0.444958998,0.06023353613852561
108,0.45481664,0.45719415,0.34306383,0.4907394,0.46107143,0.44137709,0.056834854314156115
109,0.44826946,0.44501677,0.35233435,0.4938925,0.47471002,0.44284461999999997,0.054423216254130456
110,0.44465458,0.45205036,0.37874833,0.48414806,0.4977516,0.451470586,0.046219774332263666
